Feed,Publish_DT,Title,Summary,Author,Link
Business,2022-01-05 22:02:00,"Slate’s Top Editor, Jared Hohlt, Leaves After a Three-Year Run","Jared Hohlt, who made his reputation at New York magazine, led the publication’s newsroom during a difficult period for digital media.", ,https://www.nytimes.com/2022/01/05/business/media/slate-editor-jared-hohlt.html
Most Shared,2022-01-05 22:08:00,Middle Age Doesn’t Happen ‘Just Like That’,Why is the “Sex and the City” reboot populated by adults who seem perplexed by everything from politics to their own bodies?, ,https://www.nytimes.com/2022/01/05/style/middle-age-satc-just-like-that.html
Sports,2022-01-05 22:09:00,Skepticism Greets Novak Djokovic’s Vaccine Exemption,The world No. 1 received an exemption to a rule that players be vaccinated to play in the Australian Open. Government officials said they had the power to overturn it., ,https://www.nytimes.com/2022/01/05/sports/tennis/djokovic-vaccine-exemption-australian-open.html
Science,2022-01-05 22:10:00,"Hedgehogs Are a Source of Drug-Resistant Bacteria, Study Finds",Scientists chart how a battle between fungus and bacteria living on the skin of hedgehogs led to the emergence of a strain of MRSA that can infect cows and humans., ,https://www.nytimes.com/2022/01/05/science/hedgehog-mrsa-drug-resistant-bacteria.html
Sports,2022-01-05 22:10:00,Djokovic Granted Covid-19 Vaccine Exemption to Play in Australian Open,The top-ranked player in men’s tennis revealed his plans in a post on his Instagram account., ,https://www.nytimes.com/2022/01/04/sports/tennis/djokovic-vaccine.html
USA,2022-01-05 22:22:00,The Boy Scouts’ $2.7 Billion Settlement Plan Is at Risk of Failing,"Of the tens of thousands of victims of sexual abuse who voted on a settlement plan, 73 percent supported it, just below a critical threshold of 75 percent.", ,https://www.nytimes.com/2022/01/05/us/boy-scouts-settlement.html
Economy,2022-01-05 22:24:00,"Fed Officials Discussed Raising Rates Sooner and Faster, Minutes Show",Minutes from the Federal Reserve’s December meeting show that officials are contemplating when and how quickly to lift interest rates., ,https://www.nytimes.com/2022/01/05/business/economy/federal-reserve-minutes-interest-rates.html
Politics,2022-01-05 22:51:00,Capitol Police Chief Commits to Security Improvements After Jan. 6,"Chief J. Thomas Manger, the head of an agency still reeling from the Jan. 6 attack, told lawmakers he was already addressing most of the 103 recommendations from an internal watchdog.", ,https://www.nytimes.com/2022/01/05/us/politics/capitol-police-january-6.html
Most Shared,2022-01-05 22:54:00,The C.D.C. Is Hoping You’ll Figure Covid Out on Your Own,The government’s haphazard and disorganized response to Omicron doesn’t bode well., ,https://www.nytimes.com/2022/01/05/opinion/omicron-covid-testing-cdc.html
USA,2022-01-05 22:59:00,"Mary Alice Thatch, Publisher Who Won Pardon for the Wilmington 10, Dies at 78","At the helm of The Wilmington Journal, she pushed to cover issues affecting the Black community that had been ignored by the mainstream press.", ,https://www.nytimes.com/2022/01/05/us/mary-alice-thatch-dead.html
Most Shared,2022-01-05 23:03:00,Coronavirus Briefing: What’s after Omicron?,Carl Zimmer addresses speculation about the Omicron surge and its aftermath., ,https://www.nytimes.com/2022/01/05/briefing/coronavirus-briefing-whats-after-omicron.html
World,2022-01-05 23:11:00,Italy Proposal to Add Female Statue to Square of Men Stirs Debate,"In Padua, Italy, a proposal to include a female philosopher in a monument whose 78 sculptures are all men has spurred debate.", ,https://www.nytimes.com/2022/01/05/world/europe/italy-female-statue-padua-prato-della-valle.html
Most Viewed,2022-01-05 23:12:00,What to Do If You Test Positive for Covid-19,The Omicron variant has fueled a rise in Covid-19 cases across the United States. Here’s what you need to know if you get infected., ,https://www.nytimes.com/article/testing-positive-covid-omicron-variant.html
Climate,2022-01-05 23:21:00,Behind Times Opinjon's 'Post Card From a World on Fire',"A team of more than 40 Opinion writers, photographers and editors spent five months canvassing the globe to illustrate the deadly consequences of our warming world.", ,https://www.nytimes.com/2022/01/02/insider/tracking-climate-change-in-193-countries.html
Most Emailed,2022-01-05 23:21:00,How Psychedelic Drugs Can Be Used for Mental Health,"Many recreational drugs known for mind-altering trips are being studied to treat depression, substance use and other disorders. Here’s what you need to know.", ,https://www.nytimes.com/2022/01/05/well/psychedelic-drugs-mental-health-therapy.html
Politics,2022-01-06 00:00:00,"A Year After Jan. 6, Millions of Americans Support Violence","Probably a lot fewer than you’ve been led to believe, but more than enough to make you nervous.", ,https://www.nytimes.com/2022/01/05/us/politics/americans-political-violence-capitol-riot.html
Economy,2022-01-06 00:06:00,U.S. Effort to Combat Forced Labor Targets Corporate China Ties,The Biden administration is expected to face scrutiny as it decides how to enforce a new ban on products made with forced labor in the Xinjiang region of China., ,https://www.nytimes.com/2021/12/23/us/politics/china-uyghurs-forced-labor.html
Politics,2022-01-06 00:09:00,"With Legislation Stalled, Biden Will Speak in Atlanta on Voting Rights","He will be joined by Vice President Kamala Harris, who is leading the administration’s push for voting access.", ,https://www.nytimes.com/2022/01/05/us/politics/biden-harris-voting-rights-speech-atlanta.html
Politics,2022-01-06 00:12:00,Why Trump’s Hold on the G.O.P. Is Unrivaled After the Capitol Riot,"His continued grip on the party shows, once again, that the former president can outlast almost any outrage cycle, no matter how intensely it burns.", ,https://www.nytimes.com/2022/01/05/us/politics/trump-gop-jan-6.html
Most Shared,2022-01-06 00:13:00,Reimbursement for At-Home Virus Tests Starts Next Week. White House Says,"With demand for coronavirus tests exploding, new federal sites will open soon, the White House said, but there were no details yet on when Americans would get the free tests President Biden promised.", ,https://www.nytimes.com/2022/01/05/us/politics/white-house-rapid-tests-reimbursement.html
USA,2022-01-06 00:25:00,Rabbi Shot in Synagogue Attack Is Sentenced to Prison in Fraud Schemes,"Yisroel Goldstein, who was wounded in the deadly 2019 attack on the Chabad of Poway synagogue, north of San Diego, was sentenced to 14 months in fraud schemes in which, prosecutors say, he received more than $500,000.", ,https://www.nytimes.com/2022/01/05/us/rabbi-yisroel-goldstein-fraud.html
Politics,2022-01-06 00:28:00,Jan. 6 Assault Still Casts Pall Over Capitol and Its Occupants,The attempt by a violent mob to interfere with a basic democratic task has left a stain on the institution and a strain on relationships., ,https://www.nytimes.com/2022/01/05/us/politics/jan-6-attack-capitol-lawmakers.html
World,2022-01-06 00:39:00,U.S. Charges a Suspect in Assassination of Haiti’s President,"A former Colombian commando is the first to face U.S. prosecution in the killing of Jovenel Moïse, after agents flew him to Miami from Panama.", ,https://www.nytimes.com/2022/01/04/world/americas/suspect-detained-haiti-assassination.html
Sports,2022-01-06 00:43:00,Skepticism and anger greet Novak Djokovic’s vaccine exemption.,"Some Australians reacted with fury at the announcement from the world’s No. 1 male tennis player, the sport’s most prominent vaccination skeptic.", ,https://www.nytimes.com/2022/01/05/sports/tennis/novak-djokovic-vaccine-exemption-skepticism.html
Science,2022-01-06 00:56:00,Emerging Data Raise Questions About Antigen Tests and Nasal Swabs,A new study adds to evidence that common rapid tests may fail to detect some Omicron cases in the first days of infection., ,https://www.nytimes.com/2022/01/05/health/covid-rapid-test-omicron-detection.html
Business,2022-01-06 01:17:00,Federal Labor Officials Claim New York Times Violated Workplace Law,"The National Labor Relations Board alleges that Times management wrongly prevented some employees from showing support for a union, a claim the paper denied.", ,https://www.nytimes.com/2022/01/05/business/media/times-tech-guild-nlrb.html
Politics,2022-01-06 01:28:00,These Are the People Who Died in Connection With the Capitol Riot,A bipartisan Senate report found that at least seven people had lost their lives in connection with the Jan. 6 attack., ,https://www.nytimes.com/2022/01/05/us/politics/jan-6-capitol-deaths.html
World,2022-01-06 01:29:00,Hong Kong Suspends Flights From Eight Countries,"The new measures will deepen the city’s isolation and mark a return to the tough restrictions from the early days of the pandemic, as officials race to contain the Omicron variant.", ,https://www.nytimes.com/2022/01/05/world/asia/hong-kong-flights.html
USA,2022-01-06 01:35:00,Is Covid Causing Decision Fatigue? Share Your Story.,We want to hear from you., ,https://www.nytimes.com/2022/01/05/us/covid-decision-fatigue.html
Sports,2022-01-06 01:48:00,Kyrie Irving Returns to Court After Refusing To Be Vaccinated,"Irving declined to be vaccinated for Covid-19 before the season, making him ineligible to play in New York City because of a local vaccine mandate at sports arenas that went into effect in September.", ,https://www.nytimes.com/2022/01/05/sports/kyrie-irving-nets-pacers-vaccine.html
USA,2022-01-06 02:09:00,C.D.C.: ‘Up to Date’ on Covid Vaccine Now Includes a Booster,The agency did not change the definition of what qualifies as full vaccination — a subject of intense interest to many., ,https://www.nytimes.com/2022/01/05/us/covid-vaccine-booster-cdc-up-to-date.html
Politics,2022-01-06 02:31:00,Merrick Garland Vows to Pursue Jan. 6 Inquiry ‘at Any Level’,The remarks came as Merrick B. Garland faces pressure from Democrats to more aggressively investigate any role that Donald J. Trump and his allies may have played in encouraging the violence., ,https://www.nytimes.com/2022/01/05/us/politics/merrick-garland-jan-6-investigation.html
