Feed,Publish_DT,Title,Summary,Author,Link
Sports,2021-12-23 12:49:00,"Sindhu's journey to greatness, Kidambi's resurgence, Lakshya's emergence", , ,https://timesofindia.indiatimes.com/sports/badminton/badminton-in-2021-pv-sindhus-journey-to-greatness-kidambi-srikanths-resurgence-and-lakshya-sens-emergence/articleshow/88448533.cms
Business,2021-12-23 12:53:00,"LG Energy, LIC lead big IPOs to watch in Asia next year", , ,https://timesofindia.indiatimes.com/business/markets/ipo/lg-energy-indias-lic-lead-big-ipos-to-watch-in-asia-next-year/articleshow/88448132.cms
Top Stories,2021-12-23 13:06:00,Ludhiana blast: MHA seeks detailed report from Punjab govt, , ,https://timesofindia.indiatimes.com/city/ludhiana/explosion-reported-in-ludhiana-district-court-complex-several-feared-injured/articleshow/88448863.cms
Tech,2021-12-23 13:51:00,"Infinix Note 11 with 50MP camera, 5000mAh battery goes on first sale in India", , ,https://timesofindia.indiatimes.com/gadgets-news/infinix-note-11-with-50mp-camera-5000mah-battery-goes-on-first-sale-in-india/articleshow/88449698.cms
World,2021-12-23 13:54:00,Belgium will close all nuclear reactors by 2025, , ,https://timesofindia.indiatimes.com/world/europe/belgium-will-close-7-nuclear-reactors-by-2025-government-source/articleshow/88449777.cms
Business,2021-12-23 13:56:00,"Goyal, Oz minister hold talk to expedite FTA negotiations", , ,https://timesofindia.indiatimes.com/business/india-business/goyal-australian-trade-min-holds-talk-to-expedite-fta-negotiations/articleshow/88449824.cms
Entertainment,2021-12-23 14:00:00,10 Vaani Kapoor-approved party outfits, , ,https://timesofindia.indiatimes.com/entertainment/hindi/web-stories/10-vaani-kapoor-approved-party-outfits-to-wear-this-nye/photostory/88449352.cms
Business,2021-12-23 14:13:00,Cash in circulation touches Rs 29L cr despite surge in digital payments, , ,https://timesofindia.indiatimes.com/business/india-business/cash-in-circulation-touches-rs-29-lakh-crore-despite-surge-in-digital-payments/articleshow/88450092.cms
Cricket,2021-12-23 14:16:00,NZ groundsmen should prepare spin-friendly tracks too: Ajaz Patel, , ,https://timesofindia.indiatimes.com/sports/cricket/news/ajaz-patel-understands-exclusion-despite-10-fer-but-says-kiwi-groundsmen-should-prepare-spin-friendly-tracks-too/articleshow/88450211.cms
Cricket,2021-12-23 14:18:00,Lara and Steyn part of SRH's revamped support staff, , ,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/brian-lara-and-dale-steyn-part-of-srhs-revamped-support-staff/articleshow/88449952.cms
Sports,2021-12-23 14:29:00,"SA no pushovers, but India has firepower to match that: Shastri", , ,https://timesofindia.indiatimes.com/sports/cricket/india-in-south-africa/india-vs-south-africa-proteas-are-no-pushovers-but-india-has-firepower-to-match-that-says-ravi-shastri/articleshow/88450405.cms
Sports,2021-12-23 14:35:00,Indian line-up good enough to tackle SA pacers: Pujara, , ,https://timesofindia.indiatimes.com/sports/cricket/india-in-south-africa/indian-batting-line-up-good-enough-to-tackle-south-african-pacers-cheteshwar-pujara/articleshow/88450546.cms
Top Stories,2021-12-23 14:36:00,20 gadgets you can buy at less than Rs 600 as Christmas gifts, , ,https://www.gadgetsnow.com/slideshows/20-gadgets-you-can-purchase-at-rs-599-or-less-as-christmas-gifts/photolist/88449659.cms
Cricket,2021-12-23 14:41:00,"Akhtar, Jayasuriya named in Asia Lions squad for Legends Cricket League", , ,https://timesofindia.indiatimes.com/sports/cricket/news/shoaib-akhtar-sanath-jayasuriya-named-in-asia-lions-squad-for-legends-cricket-league/articleshow/88450648.cms
Sports,2021-12-23 14:58:00,"Kohli needs to focus on his game, rather than inciting controversies: Kaneria", , ,https://timesofindia.indiatimes.com/sports/cricket/news/virat-kohli-needs-to-focus-on-his-game-rather-than-inciting-controversies-danish-kaneria/articleshow/88450991.cms
Sports,2021-12-23 15:07:00,We have stranglehold over India at home: Makhaya Ntini, , ,https://timesofindia.indiatimes.com/sports/cricket/india-in-south-africa/india-vs-south-africa-we-have-stranglehold-over-india-at-home-dont-see-that-changing-says-makhaya-ntini/articleshow/88451104.cms
Entertainment,2021-12-23 15:20:00,10 Korean celebs who hit headlines in 2021, , ,https://timesofindia.indiatimes.com/web-series/news/korean/kim-seon-ho-to-park-shin-hye-to-bts-check-out-top-10-korean-celebs-who-hit-headlines-in-2021/photostory/88451407.cms
World,2021-12-23 15:23:00,"Case data, vaccine news mark small victories in Omicron battle", , ,https://timesofindia.indiatimes.com/world/uk/case-data-vaccine-news-mark-small-victories-in-omicron-battle/articleshow/88451447.cms
