Feed,Publish_DT,Title,Summary,Author,Link
World,2022-01-13 18:12:00,South Africa minister tells schoolgirls to 'open books and close legs',Phophi Ramathuba is criticised for comments she made attempting to encourage abstinence., ,https://www.bbc.co.uk/news/world-africa-59986422?at_medium=RSS&at_campaign=KARANGA
Education and Family,2022-01-13 18:17:00,Covid in pregnancy linked to birth-related complications,"Researchers find vaccination in pregnancy does not increase the risk of complications, but Covid-19 does.", ,https://www.bbc.co.uk/news/uk-scotland-59986452?at_medium=RSS&at_campaign=KARANGA
Politics,2022-01-13 18:27:00,Police to consider investigation if No 10 party probe points to criminal offences,The force says it will consider investigation if the civil service inquiry points to potential criminal offences., ,https://www.bbc.co.uk/news/uk-politics-59984382?at_medium=RSS&at_campaign=KARANGA
Business,2022-01-13 18:46:00,Ocado and Next cut sick pay for unvaccinated isolating staff,Staff required to self-isolate will no longer be eligible for full sick pay if they haven't had the jab., ,https://www.bbc.co.uk/news/business-59963700?at_medium=RSS&at_campaign=KARANGA
Politics,2022-01-13 18:58:00,Boris Johnson: Ministers rally round PM as he faces calls to quit,Boris Johnson is under pressure to go after admitting attending a drinks party during lockdown., ,https://www.bbc.co.uk/news/uk-politics-59981882?at_medium=RSS&at_campaign=KARANGA
Top Stories,2022-01-13 19:21:00,Downing Street party: 'We feel like the government is laughing at us',People fined for rule-breaking in lockdown share their stories and views on the No 10 lockdown party., ,https://www.bbc.co.uk/news/uk-59983740?at_medium=RSS&at_campaign=KARANGA
Politics,2022-01-13 20:02:00,Olly Stephens: MP criticises social media role in boy's murder,"Olly Stephens was attacked after being lured to a field in Emmer Green, Reading last year.", ,https://www.bbc.co.uk/news/uk-england-berkshire-59988206?at_medium=RSS&at_campaign=KARANGA
World,2022-01-13 21:33:00,Afghanistan: 'Terrified' British Council teachers still in hiding,Afghan teachers employed by the British Council say they are still in hiding from the Taliban., ,https://www.bbc.co.uk/news/uk-59967957?at_medium=RSS&at_campaign=KARANGA
World,2022-01-13 23:27:00,Dutch King Willem-Alexander retires coach amid slavery row,Critics say the carriage depicts an image that celebrates the Netherlands' slave-owning past., ,https://www.bbc.co.uk/news/world-europe-59988414?at_medium=RSS&at_campaign=KARANGA
Technology,2022-01-14 00:01:00,Google will spend £730m to 'reinvigorate' its UK offices,"The tech giant is expanding UK staff capacity by 50% and wants to ""reinvigorate"" the work environment.", ,https://www.bbc.co.uk/news/business-59980216?at_medium=RSS&at_campaign=KARANGA
Business,2022-01-14 00:02:00,"Don't use refund firms to claim tax rebates, says Which?",The consumer group says people are paying third party firms hundreds of pounds unnecessarily., ,https://www.bbc.co.uk/news/business-59980217?at_medium=RSS&at_campaign=KARANGA
UK,2022-01-14 00:06:00,Prince Andrew: Why the military titles and royal patronages meant so much,The BBC's Dan Johnson explains the importance of the Duke of York's military titles and royal patronages., ,https://www.bbc.co.uk/news/uk-59989886?at_medium=RSS&at_campaign=KARANGA
Entertainment and Arts,2022-01-14 00:06:00,South Korea: The celebrity tattooist criminalised for his art,"Doy is one of South Korea's most famous tattoo artists, but also a criminal for doing his job.", ,https://www.bbc.co.uk/news/world-asia-59662783?at_medium=RSS&at_campaign=KARANGA
Science and Environment,2022-01-14 00:09:00,The 'green' row over the UK's largest renewable power plant,The UK's wood-burning Drax power plant hopes to expand but faces questions on its green credentials., ,https://www.bbc.co.uk/news/business-59546281?at_medium=RSS&at_campaign=KARANGA
Top Stories,2022-01-14 00:10:00,Secret audio sheds light on toppled dictator’s frantic last hours,The BBC has obtained extraordinary recordings believed to be of phone calls made by Tunisian ex president Zine al-Abidine Ben Ali as he flew out of the country in 2011., ,https://www.bbc.co.uk/news/world-africa-59972545?at_medium=RSS&at_campaign=KARANGA
